"","MODZCTA","label","NEIGHBORHOOD_NAME","BOROUGH_GROUP","COVID_CASE_COUNT","COVID_CASE_RATE","POP_DENOMINATOR","COVID_DEATH_COUNT","COVID_DEATH_RATE","PERCENT_POSITIVE","TOTAL_COVID_TESTS","numct","MedInc","sqft","sqftpc","Pop_Add_MODZCTA","rankccr","ranksqft","rankinc","ccrsqft"
"162","11422","11422","Rosedale","Queens",1107,3282.76,33721.62,67,198.69,12.91,8577,7,89235,832203.486556344,27.3526207578092,30425,66,61,137,127
"163","11423","11423","Hollis/Holliswood","Queens",1249,3898.11,32041.14,108,337.07,13.71,9109,9,70266,2078544.48236824,69.3148525150311,29987,20,99,97,119
"164","11426","11426","Bellerose","Queens",578,2838.44,20363.28,34,166.97,11.65,4963,4,88803,148338.459675,8.43311311398522,17590,90,28,135,118
"165","11427","11427","Bellerose/Hollis Hills/Holliswood","Queens",900,3877.24,23212.38,52,224.02,12.86,6999,8,74581,1784886.83285729,75.6532375220314,23593,24,102,110,126
"166","11428","11428","Queens Village","Queens",743,3844.27,19327.45,55,284.57,14.24,5216,7,73699,104422.16409759,5.4477339366439,19168,25,13,108,38
"167","11429","11429","Queens Village","Queens",1095,3905.65,28036.33,76,271.08,13.43,8151,9,86867.5771814369,112666.851055896,3.84174484454242,29327,18,10,133,28
"168","11432","11432","Hillcrest/Jamaica Estates/Jamaica Hills","Queens",2228,3525.57,63195.4,260,411.42,12.95,17200,19,55906,1200889.08228077,19.7485418651971,60809,41,47,60,88
"169","11433","11433","Jamaica","Queens",1103,3060.85,36035.76,81,224.78,11.9,9272,13,51521,745050.843990399,22.793491112381,32687,81,53,50,134
"170","11434","11434","Airport/South Jamaica/Springfield Gardens/St. Albans","Queens",2335,3457.41,67536.11,200,296.14,12.95,18024,18,62014.0222716774,2685226.28156087,45.272137331797,59313,49,85,77,134
"171","11435","11435","Briarwood/Jamaica","Queens",1938,3360.86,57663.84,150,260.13,12.77,15172,15,64086,390620.628977102,7.27588855732491,53687,58,20,83,78
"172","11436","11436","South Jamaica/South Ozone Park","Queens",612,2941.26,20807.42,47,225.88,12.55,4877,10,75242,3032882.272064,168.972214165915,17949,86,132,112,218
"173","11691","11691","Edgemere/Far Rockaway","Queens",3121,4819.41,64759.02,379,585.25,13.79,22631,12,46147,3330244.13931786,55.4717104908447,60035,3,90,35,93
"174","11692","11692","Arverne/Edgemere","Queens",739,3672.92,20120.24,95,472.16,11.35,6513,2,44024,7594532.485156,409.629583881122,18540,33,159,32,192
"175","11693","11693","Arverne/Broad Channel","Queens",369,2980.31,12381.27,29,234.22,11.01,3350,3,59431,4790148.72419342,401.993011429458,11916,85,157,71,242
"176","11694","11694","Belle Harbor-Neponsit/Rockaway Park","Queens",832,4087.29,20355.78,90,442.13,12.31,6756,6,80976,3355365.61577742,164.414230486938,20408,13,131,120,144
"177","11697","11697","Breezy Point","Queens",125,3534.38,3536.69,5,141.38,6.68,1872,3,103580,9349394.57333333,764.026687368909,12237,39,170,148,209
